chunk_index,char_count
0,4749
1,4732
2,4774
3,4792
4,4771
5,4761
6,4711
7,4594
8,4750
9,4763
10,4409
11,4722
12,2762
13,4771
14,4395
15,4752
16,4732
17,4686
18,4756
19,4780
20,4725
21,4799
22,4787
23,4698
24,4680
25,4749
26,4793
27,4794
28,4754
29,4694
30,4763
31,4107
32,3306
33,3287
34,4775
35,4726
36,354
37,4737
38,4729
39,4698
40,4783
41,4763
42,4796
43,4792
44,4727
45,4683
46,4284
47,4785
48,4641
49,4727
50,4793
51,4790
52,4723
53,1133
54,4722
55,4780
56,4786
57,4765
58,4782
59,4796
60,4793
61,4758
62,2093
63,4740
64,4789
65,4757
66,4779
67,4777
68,4705
69,4764
70,4737
71,4574
72,4477
73,4706
74,4794
75,4734
76,4727
77,4721
78,4787
79,4683
80,4752
81,4648
82,3317
83,4661
84,4602
85,4766
86,1951
87,4778
88,4756
89,4755
90,1588
91,4682
92,4767
93,4752
94,4770
95,4743
96,4729
97,4414
98,2895
99,4763
100,624
101,4736
102,4741
103,412
104,4671
105,4792
106,4714
107,4590
108,4730
109,4789
110,4738
111,4694
112,4674
113,4675
114,4748
115,4733
116,4725
117,4134
118,4656
119,4782
120,4754
121,771
122,4758
123,4680
124,4774
125,4089
126,4662
127,4785
128,4728
129,3482
130,4745
131,4788
132,4749
133,4755
134,4757
135,4767
136,4742
137,4796
138,4792
139,4733
140,1940
141,4786
142,4752
143,4719
144,4796
145,4763
146,4754
147,4633
148,4787
149,3030
150,4735
151,4751
152,4780
153,4714
154,4772
155,4733
156,4780
157,4750
158,4618
159,4713
160,4736
161,4660
162,1590
163,4699
164,4525
165,4777
166,4797
167,4700
168,4193
169,4688
170,4762
171,4740
172,4769
173,4286
174,4747
175,4798
176,4730
177,4045
178,4770
179,4789
180,4742
181,4749
182,4774
183,4695
184,4675
185,4706
186,4786
187,4533
188,4772
189,3418
190,4756
191,4791
192,4525
193,4560
194,4744
195,4796
196,4777
197,4772
198,4733
199,4731
200,4091
201,4753
202,4786
203,4726
204,4776
205,4115
206,4756
207,922
208,2651
209,4461
210,4791
211,4780
212,4776
213,4797
214,4764
215,4711
216,4792
217,4796
218,4725
219,4780
220,4779
221,4734
222,4778
223,4744
224,4758
225,4689
226,4215
227,4797
228,4708
229,4732
230,4611
231,4727
232,4337
233,4717
234,4734
235,4788
236,4740
237,4696
238,1530
239,4680
240,4777
241,4735
242,4563
243,4693
244,4707
245,4760
246,4764
247,4714
248,4755
249,4220
250,4776
251,1866
252,4722
253,4729
254,4744
255,4713
256,1176
257,4744
258,4738
259,4092
260,4748
261,4157
262,4726
263,4760
264,4650
265,4743
266,4728
267,4730
268,4729
269,4699
270,4437
271,4790
272,4756
273,4757
274,4748
275,4795
276,4795
277,4781
278,4786
279,4526
280,4796
281,4776
282,3363
283,4778
284,1882
285,4764
286,4609
287,4739
288,4791
289,4255
290,4716
291,4697
292,4719
293,4613
294,4788
295,4777
296,1330
297,4731
298,4795
299,4693
300,4723
301,4754
302,4634
303,4734
304,4720
305,4477
306,4719
307,4751
