normalized_source,chunk_count
royston 等 modeling sound transmission through the pulmonary system and chest with application to diagnosis of,20
zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,18
zhu 等 2019 computational modeling and analysis of murmurs generated by modeled aortic stenoses,16
ozden 等 2020 effect of stenosis shape on the sound emitted from a constricted blood vessel,16
ali 等 2023 a cfd fft approach to hemoacoustics that enables degree of stenosis prediction from stethoscopic sig,15
seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery,14
khalili 等 2021 spectral decomposition of the flow and characterization of the sound signals through stenoses with d,14
tommasin 等 2019 physics of within tissue wave propagation generated by pulse propagation in the carotid artery,14
liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia,14
wodicka 等 1989 a model of acoustic transmission in the respiratory system,13
numerical simulation of the fluid structure interactions in a compliant patientspecific arteriovenous fistula,13
fbioe 08 00846,12
narasimhan 等 2004 a high resolution computer model for sound propagation in the human thorax based on the visible huma,12
a coupled flow acoustic computational study of bru,11
ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning,10
shishlenin 等 2024 nonlinear medical ultrasound tomography 3d modeling of sound wave propagation in human tissues,9
khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l,8
yeh 等 2022 development and validation of machine learning models to classify artery stenosis for automated gene,8
song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis,8
park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na,8
hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis,8
hession和mccormack 2023 modelling the acoustic transmission of biological tissue at low frequencies,7
venugopal 等 2020 computational modeling of carotid bruits,7
2018 skin coupled pvdf microphones for noninvasive vascular blood sound,6
2018 stenosis characterization and identification for dialysis vascular access,5
2021 acoustic bruit transduction interface for non invasive vascular access monitoring,5
2019 vascular stenosis detection using temporal spectral differences in correlated acoustic,5
grochowina 等 2019 an application of wavelet transform for non invasive evaluation of arteriovenous fistula state,4
pandia 等 2010 physical modeling of low frequency sound propagation through human thoracic tissue,4
grochowina和leniowska 2016 the new method of the selection of features for the k nn classifier in the arteriovenous fistula sta,4
